"person_id","age","rating","vehicle_condition","type_of_vehicle"
BHPRES12DEL02 ,20,4.5,1,motorcycle 
CHENRES11DEL03 ,35,4.1,1,motorcycle 
BANGRES010DEL03 ,39,4.6,1,scooter 
VADRES20DEL01 ,34,4.7,2,electric_scooter 
BANGRES11DEL01 ,27,4.7,2,scooter 
DEHRES01DEL01 ,30,4.8,1,motorcycle 
CHENRES02DEL01 ,25,4.4,2,scooter 
JAPRES03DEL02 ,30,5.0,1,motorcycle 
HYDRES04DEL03 ,24,4.6,1,motorcycle 
PUNERES14DEL02 ,39,4.8,1,motorcycle 
GOARES04DEL01 ,25,4.8,1,scooter 
MUMRES15DEL03 ,36,4.7,1,scooter 
AURGRES08DEL02 ,37,4.6,0,motorcycle 
BANGRES12DEL01 ,24,5.0,0,motorcycle 
HYDRES05DEL01 ,25,4.2,0,motorcycle 
RANCHIRES17DEL01 ,32,4.6,2,motorcycle 
AGRRES010DEL01 ,34,4.7,1,scooter 
INDORES12DEL02 ,38,4.9,2,scooter 
JAPRES15DEL03 ,36,4.8,2,electric_scooter 
SURRES16DEL01 ,25,5.0,1,motorcycle 
MYSRES16DEL02 ,29,5.0,0,motorcycle 
MUMRES05DEL03 ,36,4.7,2,electric_scooter 
COIMBRES19DEL02 ,33,4.7,0,motorcycle 
MYSRES07DEL01 ,36,4.4,2,scooter 
PUNERES17DEL01 ,21,4.8,0,motorcycle 
HYDRES19DEL03 ,25,4.8,1,scooter 
MUMRES14DEL02 ,23,4.8,0,motorcycle 
COIMBRES02DEL01 ,25,4.6,2,motorcycle 
INDORES05DEL02 ,24,4.3,0,motorcycle 
BANGRES03DEL03 ,27,4.6,0,motorcycle 
MUMRES11DEL01 ,23,4.8,2,scooter 
MYSRES12DEL02 ,21,4.3,1,scooter 
SURRES09DEL02 ,27,4.7,2,scooter 
COIMBRES12DEL02 ,32,4.2,1,motorcycle 
KNPRES05DEL02 ,39,4.7,1,scooter 
SURRES05DEL02 ,27,4.6,0,motorcycle 
MUMRES15DEL01 ,39,3.8,1,motorcycle 
BANGRES15DEL02 ,31,4.8,1,scooter 
RANCHIRES11DEL03 ,31,4.8,2,electric_scooter 
MYSRES08DEL01 ,20,4.8,0,motorcycle 
RANCHIRES07DEL02 ,36,4.9,0,motorcycle 
RANCHIRES01DEL03 ,20,4.9,0,motorcycle 
JAPRES17DEL03 ,24,4.6,0,motorcycle 
INDORES14DEL01 ,39,4.2,1,scooter 
COIMBRES17DEL01 ,37,4.8,2,scooter 
KNPRES17DEL02 ,22,4.5,1,scooter 
RANCHIRES04DEL01 ,33,4.7,1,scooter 
KOLRES17DEL03 ,23,NaN,0,motorcycle 
BANGRES19DEL02 ,27,4.6,0,motorcycle 
MUMRES17DEL01 ,34,4.7,2,scooter 
SURRES14DEL01 ,26,5.0,2,scooter 
VADRES14DEL03 ,31,4.6,0,motorcycle 
PUNERES09DEL02 ,32,4.9,2,motorcycle 
INDORES19DEL02 ,27,4.7,1,motorcycle 
BANGRES12DEL02 ,28,4.8,1,motorcycle 
VADRES04DEL01 ,24,4.9,1,scooter 
BANGRES11DEL03 ,20,4.6,0,motorcycle 
COIMBRES13DEL03 ,31,4.3,0,motorcycle 
CHENRES19DEL01 ,31,4.2,0,motorcycle 
HYDRES02DEL03 ,39,4.1,1,scooter 
SURRES010DEL02 ,29,4.6,2,electric_scooter 
SURRES03DEL01 ,29,4.6,1,scooter 
COIMBRES17DEL03 ,37,4.9,0,motorcycle 
VADRES08DEL01 ,33,4.7,0,motorcycle 
MUMRES08DEL01 ,31,3.9,1,scooter 
VADRES18DEL01 ,37,4.6,0,motorcycle 
BANGRES04DEL03 ,26,4.4,0,motorcycle 
RANCHIRES12DEL02 ,23,4.8,1,scooter 
MYSRES13DEL01 ,39,4.8,0,motorcycle 
COIMBRES03DEL02 ,20,4.7,0,motorcycle 
KOLRES04DEL03 ,29,4.3,0,motorcycle 
COIMBRES11DEL01 ,36,4.8,2,motorcycle 
VADRES13DEL03 ,36,4.0,0,motorcycle 
RANCHIRES04DEL02 ,22,4.8,1,scooter 
SURRES01DEL02 ,39,4.9,0,motorcycle 
INDORES08DEL02 ,24,4.9,1,scooter 
HYDRES18DEL03 ,35,4.8,0,motorcycle 
PUNERES05DEL03 ,-1,NaN,2,scooter 
CHENRES07DEL03 ,33,4.5,2,electric_scooter 
KOCRES010DEL01 ,39,4.7,1,motorcycle 
VADRES11DEL02 ,31,4.3,1,motorcycle 
CHENRES20DEL01 ,37,4.5,2,scooter 
MUMRES13DEL01 ,33,5.0,1,motorcycle 
RANCHIRES03DEL03 ,24,4.6,2,scooter 
JAPRES08DEL02 ,33,4.5,1,scooter 
ALHRES12DEL01 ,39,4.7,2,motorcycle 
HYDRES19DEL02 ,25,4.9,2,scooter 
PUNERES17DEL03 ,28,4.8,1,scooter 
MYSRES010DEL01 ,38,4.7,2,motorcycle 
MUMRES06DEL03 ,25,4.8,2,motorcycle 
MYSRES18DEL01 ,35,4.9,0,motorcycle 
RANCHIRES18DEL01 ,39,4.7,0,motorcycle 
INDORES06DEL02 ,38,3.9,1,motorcycle 
CHENRES15DEL03 ,35,4.7,1,motorcycle 
JAPRES07DEL02 ,29,4.7,1,motorcycle 
SURRES18DEL03 ,27,4.6,1,scooter 
SURRES19DEL01 ,36,4.9,2,motorcycle 
HYDRES04DEL01 ,26,4.0,1,motorcycle 
KNPRES16DEL03 ,26,4.1,2,motorcycle 
MYSRES12DEL03 ,36,4.9,1,motorcycle 
JAPRES09DEL01 ,21,4.7,0,motorcycle 
CHENRES04DEL02 ,35,4.7,2,electric_scooter 
MYSRES09DEL01 ,20,4.5,2,motorcycle 
PUNERES19DEL03 ,23,4.6,0,motorcycle 
KOLRES18DEL03 ,37,5.0,0,motorcycle 
BANGRES14DEL03 ,26,4.8,0,motorcycle 
INDORES09DEL01 ,26,4.9,1,motorcycle 
PUNERES09DEL03 ,29,4.8,0,motorcycle 
RANCHIRES01DEL02 ,29,4.7,2,motorcycle 
LUDHRES010DEL03 ,21,4.9,1,scooter 
MYSRES13DEL02 ,22,4.3,0,motorcycle 
COIMBRES11DEL02 ,20,4.5,1,motorcycle 
VADRES13DEL02 ,30,3.9,2,electric_scooter 
BANGRES01DEL01 ,36,4.8,0,motorcycle 
MYSRES15DEL01 ,32,4.7,2,electric_scooter 
CHENRES02DEL03 ,25,5.0,1,motorcycle 
HYDRES12DEL01 ,27,4.5,2,scooter 
BANGRES07DEL01 ,32,4.1,0,motorcycle 
CHENRES09DEL01 ,23,4.7,1,motorcycle 
BANGRES04DEL02 ,39,4.4,0,motorcycle 
JAPRES13DEL02 ,20,4.8,2,electric_scooter 
ALHRES07DEL03 ,29,4.6,1,scooter 
JAPRES06DEL03 ,26,4.9,2,scooter 
KOCRES03DEL01 ,25,5.0,1,motorcycle 
BANGRES13DEL01 ,34,4.7,1,motorcycle 
GOARES02DEL01 ,31,4.9,0,motorcycle 
RANCHIRES03DEL02 ,24,4.7,0,motorcycle 
HYDRES12DEL03 ,30,4.9,2,motorcycle 
JAPRES13DEL03 ,36,4.4,0,motorcycle 
JAPRES18DEL03 ,26,4.7,0,motorcycle 
VADRES05DEL01 ,30,4.6,2,scooter 
AURGRES02DEL03 ,20,4.8,2,scooter 
MUMRES20DEL03 ,34,4.0,0,motorcycle 
HYDRES14DEL02 ,36,4.6,0,motorcycle 
KNPRES02DEL02 ,33,4.6,1,motorcycle 
AURGRES19DEL01 ,22,4.8,1,motorcycle 
BANGRES08DEL02 ,27,4.9,2,scooter 
KNPRES16DEL01 ,32,4.8,2,scooter 
BANGRES010DEL02 ,26,4.8,0,motorcycle 
INDORES03DEL02 ,29,4.5,0,motorcycle 
COIMBRES16DEL02 ,31,4.5,0,motorcycle 
HYDRES20DEL01 ,28,4.6,2,motorcycle 
AGRRES08DEL03 ,21,4.8,1,motorcycle 
COIMBRES15DEL02 ,21,4.0,0,motorcycle 
ALHRES05DEL01 ,29,4.7,2,motorcycle 
MUMRES01DEL01 ,20,4.8,1,motorcycle 
AURGRES14DEL03 ,28,5.0,0,motorcycle 
CHENRES14DEL02 ,38,4.8,1,motorcycle 
HYDRES06DEL03 ,39,4.9,1,motorcycle 
COIMBRES16DEL01 ,24,4.9,0,motorcycle 
INDORES13DEL03 ,33,4.5,2,scooter 
INDORES12DEL03 ,35,4.2,1,motorcycle 
MUMRES13DEL03 ,27,4.2,0,motorcycle 
BANGRES06DEL03 ,29,4.5,0,motorcycle 
AGRRES11DEL02 ,34,4.7,1,scooter 
KNPRES15DEL02 ,20,4.7,2,scooter 
VADRES13DEL01 ,29,4.8,1,motorcycle 
VADRES01DEL03 ,22,4.9,2,scooter 
AGRRES03DEL01 ,35,4.9,0,motorcycle 
KOCRES14DEL01 ,32,4.4,0,motorcycle 
LUDHRES18DEL01 ,28,4.9,2,motorcycle 
SURRES20DEL02 ,23,4.8,0,motorcycle 
INDORES18DEL02 ,22,4.8,2,motorcycle 
AURGRES04DEL02 ,29,4.5,2,motorcycle 
BANGRES010DEL01 ,38,4.1,0,motorcycle 
VADRES15DEL03 ,38,4.7,2,scooter 
DEHRES010DEL01 ,32,4.3,1,scooter 
CHENRES05DEL02 ,25,4.9,0,motorcycle 
DEHRES12DEL02 ,39,4.1,1,motorcycle 
VADRES01DEL01 ,31,4.4,0,motorcycle 
SURRES13DEL02 ,37,4.5,0,motorcycle 
LUDHRES05DEL03 ,36,4.9,2,electric_scooter 
COIMBRES14DEL01 ,38,4.9,2,scooter 
AGRRES010DEL02 ,37,4.4,0,motorcycle 
SURRES14DEL03 ,21,4.9,2,scooter 
JAPRES04DEL03 ,35,4.9,2,electric_scooter 
JAPRES01DEL03 ,22,4.8,1,scooter 
HYDRES010DEL02 ,28,4.8,0,motorcycle 
CHENRES15DEL02 ,39,4.6,2,motorcycle 
MYSRES05DEL02 ,25,4.9,2,electric_scooter 
COIMBRES03DEL03 ,34,5.0,2,electric_scooter 
BANGRES01DEL02 ,22,4.8,1,motorcycle 
KNPRES12DEL01 ,27,5.0,0,motorcycle 
MUMRES010DEL01 ,28,4.5,0,motorcycle 
COIMBRES20DEL03 ,32,5.0,2,scooter 
HYDRES16DEL01 ,27,4.6,0,motorcycle 
MUMRES01DEL02 ,35,3.9,1,motorcycle 
MYSRES08DEL03 ,22,4.6,1,motorcycle 
AURGRES16DEL03 ,35,4.7,2,electric_scooter 
VADRES11DEL01 ,30,4.6,0,motorcycle 
MYSRES09DEL02 ,39,4.8,2,scooter 
PUNERES05DEL02 ,20,4.7,2,scooter 
MYSRES02DEL03 ,34,4.2,0,motorcycle 
MYSRES03DEL01 ,22,4.7,0,motorcycle 
JAPRES16DEL02 ,37,4.3,2,scooter 
SURRES15DEL02 ,33,4.9,1,motorcycle 
VADRES06DEL01 ,33,4.6,0,motorcycle 
MUMRES19DEL03 ,30,4.6,0,motorcycle 
HYDRES05DEL03 ,32,4.9,1,scooter 
AURGRES12DEL02 ,39,4.9,0,motorcycle 
MUMRES07DEL03 ,20,4.5,1,scooter 
JAPRES16DEL01 ,36,5.0,2,scooter 
BANGRES09DEL02 ,28,4.8,1,scooter 
PUNERES12DEL02 ,32,4.5,0,motorcycle 
SURRES07DEL01 ,30,4.7,0,motorcycle 
PUNERES19DEL01 ,32,4.4,0,motorcycle 
INDORES15DEL03 ,23,4.6,0,motorcycle 
INDORES17DEL03 ,31,4.2,2,electric_scooter 
MUMRES13DEL02 ,37,4.6,2,electric_scooter 
SURRES18DEL02 ,20,4.5,0,motorcycle 
RANCHIRES010DEL02 ,34,4.8,1,scooter 
RANCHIRES01DEL01 ,32,4.5,2,motorcycle 
